0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2264,3120,2317,2690,2166,2871,2238,2292,2003,2494,1434,3321,3335,1867,2317,2213,4746,2049,905,7362,6257
2755,3363,1837,2946,2782,3478,2891,3176,2632,3058,1063,3613,4348,1917,2928,2529,4349,2662,1705,7597,6492
2603,3232,2825,2815,2578,3278,2760,3043,2485,2914,1100,3732,3749,1773,2724,2380,4093,2457,2272,7497,6391
1655,1387,2968,860,1024,1780,928,1233,1534,1981,2168,2353,2423,1149,1328,1781,3501,1461,2770,5834,4724
1728,1122,3370,316,858,1782,762,1047,1559,1813,2747,2183,2259,1354,1144,2036,4060,1289,3191,5904,4777
1500,1244,2978,1045,960,1619,868,1159,1376,1917,2178,2292,2358,1159,1264,1727,3369,1397,2781,5815,4688
1941,934,3548,1423,1558,1520,1459,1770,1819,2502,2733,2869,2578,1753,1760,2163,3339,1986,3356,5603,4469
1862,856,3458,637,1458,1443,1005,1327,2116,2126,3010,2500,2613,1701,1480,2121,3843,1610,3269,5580,4446
2871,1545,4530,2203,2221,1927,2126,2440,2862,2754,3668,3078,2671,2752,2393,3335,3233,2464,4349,4703,3562
1619,1049,3288,535,908,1490,897,1175,1937,1870,2803,2240,2309,1470,1203,1937,3711,1358,3099,5667,4534
2387,1016,3894,1693,1726,1392,1634,1927,2408,2399,3049,2725,2302,2100,1686,2715,3158,1954,3706,4860,3726
1660,628,3181,633,1198,1435,775,1066,1961,1954,3005,2326,2353,2099,1201,1829,3741,1443,2990,5605,4471
2258,1164,3775,1984,1711,1357,1619,1950,2139,2709,2930,3031,2615,1972,1792,2478,3208,2047,3588,5196,4058
2844,1607,4472,2270,2805,1685,2190,2700,2791,2490,3635,2827,2392,2691,2167,3303,3698,2488,4294,4704,3572
2460,1413,4032,2037,2062,1116,1937,1947,2273,2101,3562,2476,2541,2618,1636,2705,3744,1766,3844,5023,3882
1786,846,3374,1374,1397,946,1034,1277,2085,2148,3582,2520,2041,2063,1401,2027,3648,1642,3188,5687,4559
2474,1118,4046,1760,2071,1165,1740,1958,2205,2035,3351,2408,2443,2410,1567,2719,3769,1827,3859,4923,3785
1482,775,3071,878,1070,1393,615,954,1805,1843,3235,2214,2253,1755,1082,1718,4047,1331,2884,6146,5022
2127,210,3710,1348,1731,1321,1318,1613,2455,2478,3410,2844,2386,2202,1737,2363,3539,1973,3525,5427,4293
